kafka2-1  | [2026-03-17 05:57:46,518] INFO Deleted time index /tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-0/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,520] INFO [LocalLog partition=DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-2, dir=/tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-2] Deleting segment files LogSegment(baseOffset=0, size=57250, lastModifiedTime=1773723400398, largestRecordTimestamp=1773723399238) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,521] INFO Deleted log /tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-2/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,521] INFO Deleted offset index /tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-2/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,521] INFO Deleted time index /tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-2/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,522] INFO [LocalLog partition=94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-10, dir=/tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-10] Deleting segment files LogSegment(baseOffset=0, size=8768, lastModifiedTime=1773723399400, largestRecordTimestamp=1773723399397) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,523] INFO Deleted log /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-10/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,523] INFO Deleted offset index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-10/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,523] INFO Deleted time index /tmp/kafka-logs/94C8BA4C4C9B94F71853F5F773511C8BEA2B8CA5683A6E128A797A3D0EF6-10/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,524] INFO [LocalLog partition=95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-1, dir=/tmp/kafka-logs/95991FF50A565E1A65D27DEE03F93BB336EEC429B4D55B97BA21EE8DB990-1] Deleting segment files LogSegment(baseOffset=0, size=70800, lastModifiedTime=1773723400343, largestRecordTimestamp=1773723399935) (org.apache.kafka.storage.internals.log.LocalLog)
